No,Chinese,Pinyin,English,Level
1775,空闲,kòng xián,"leisure, idle",5
1776,控制,kòng zhì,"control, to control",5
1777,口味,kǒu wèi,"taste, flavour",5
1778,夸,kuā,"to praise, to boast",5
1779,会计,kuài jì,"accountant, accounting",5
1780,矿泉水,kuàng quán shuǐ,mineral water,5
1781,辣椒,là jiāo,"hot pepper, chili",5
1782,蜡烛,là zhú,candle,5
1783,来自,lái zì,to come from,5
1784,拦,lán,"to block, to hinder",5
1785,烂,làn,"to rot, rotten, mushy, soft",5
1786,狼,láng,wolf,5
1787,老百姓,lǎo bǎi xìng,ordinary people,5
1788,老板,lǎo bǎn,"boss, owner",5
1789,劳动,láo dòng,"work, labour",5
1790,劳驾,láo jià,excuse me,5
1791,姥姥,lǎo lao,grandmother (mother's mum),5
1792,老实,lǎo shi,"honest, sincere",5
1793,老鼠,lǎo shǔ,"rat, mouse",5
1794,乐观,lè guān,"optimistic, hopeful",5
1795,雷,léi,thunder,5
1796,类,lèi,"sort, kind, category Measure, for sorts, types, categories, etc.",5
1797,梨,lí,pear,5
1798,粒,lì,"grain Measure, for small roung things",5
1799,礼拜天,lǐ bài tiān,Sunday,5
1800,立方,lì fāng,cube,5
1801,离婚,lí hūn,"divorce, to divorce (from)",5
1802,立即,lì jí,"immediately, at once",5
1803,立刻,lì kè,"immediately, at once",5
1804,力量,lì liàng,"power, force, strength",5
1805,理论,lǐ lùn,theory,5
1806,厘米,lí mǐ,"Measure, centimeter",5
1807,利润,lì rùn,profit,5
1808,利息,lì xī,interest (on a loan),5
1809,利益,lì yì,benefit,5
1810,利用,lì yòng,"to make use of, to utilize",5
1811,理由,lǐ yóu,"reason, justification",5
1812,恋爱,liàn ài,"love, to be in love, to have an affair",5
1813,联合,lián hé,"alliance, union, to unite, to join, combined, joint",5
1814,连忙,lián máng,"promptly, at once",5
1815,连续剧,lián xù jù,(TV) series,5
1816,良好,liáng hǎo,"good, favorable, fine",5
1817,粮食,liáng shi,"food, cereals",5
1818,了不起,liǎo bu qǐ,"amazing, extraordnary",5
1819,临时,lín shí,temporary,5
1820,铃,líng,bell,5
1821,领导,lǐng dǎo,"leader, leadership, to lead",5
1822,灵活,líng huó,"flexible, agile, nimble",5
1823,零件,líng jiàn,"part, component",5
1824,零钱,líng qián,change (money),5
1825,零食,líng shí,snack,5
1826,领域,lǐng yù,"field, domain, area, territory",5
1827,流传,liú chuán,"to spread, to circulate, to hand down",5
1828,浏览,liú lǎn,"to skim over, to browse, to surf (IT)",5
1829,龙,lóng,dragon,5
1830,漏,lòu,to leak,5
1831,露,lù,"dew, syrup, nectar, to uncover, to expose, to reveal",5
1832,陆地,lù dì,"land, dry land",5
1833,录取,lù qǔ,"to enroll, being admitted (e.g. university)",5
1834,陆续,lù xù,"one after another, bit by bit",5
1835,录音,lù yīn,"sound recording, to record",5
1836,轮流,lún liú,"to alternate, to take turns",5
1837,论文,lùn wén,"paper, thesis",5
1838,落后,luò hòu,"to fall behind, to lag",5
1839,逻辑,luó ji,logic,5
1840,骂,mà,"abuse, to abuse, to curse",5
1841,麦克风,mài kè fēng,microphone,5
1842,馒头,mán tou,steamed bun,5
1843,满足,mǎn zú,to satisfy,5
1844,毛,máo,"hair, down Measure, for 0.1 RMB",5
1845,毛病,máo bìng,"defect, fault, trouble",5
1846,矛盾,máo dùn,"contradiction, contradictory",5
1847,冒险,mào xiǎn,to take a risk,5
1848,贸易,mào yì,trade,5
1849,魅力,mèi lì,"charm, fascination",5
1850,眉毛,méi mao,eyebrow,5
1851,美术,měi shù,"fine arts, art",5
1852,煤炭,méi tàn,coal,5
1853,蜜蜂,mì fēng,honeybee,5
1854,迷路,mí lù,"to get lost, to lose the way",5
1855,秘密,mì mì,"secret, secret, confidential",5
1856,密切,mì qiè,"close, intimate",5
1857,秘书,mì shū,secretary,5
1858,谜语,mí yǔ,riddle,5
1859,面对,miàn duì,"to face, to confront",5
1860,棉花,mián hua,cotton,5
1861,面积,miàn jī,area,5
1862,面临,miàn lín,"to face sth., to be confronted with",5
1863,秒,miǎo,second,5
1864,苗条,miáo tiao,"slim, slender, graceful",5
1865,描写,miáo xiě,"description, to describe, to depict, to portray",5
1866,民主,mín zhǔ,"democracy, democratic",5
1867,命令,mìng lìng,"order, command, to order, to command",5
1868,名牌,míng pái,famous brand,5
1869,名片,míng piàn,(business) card,5
1870,明确,míng què,"clear, definite, explicit",5
1871,名胜古迹,míng shèng gǔ jì,historical sites and scenic spots,5
1872,明显,míng xiǎn,"clear, obvious",5
1873,明信片,míng xìn piàn,postcard,5
1874,明星,míng xīng,"star, celebrity",5
1875,命运,mìng yùn,"fate, destiny",5
1876,摸,mō,"to touch, to feel with the hand, to grope",5
1877,模仿,mó fǎng,"to imitate, to copy",5
1878,模糊,mó hu,"fuzzy, blurred, indistinct",5
1879,陌生,mò shēng,"strange, unfamiliar",5
1880,摩托车,mó tuō chē,motorbike,5
1881,某,mǒu,"some, certain",5
1882,目标,mù biāo,"goal, target, objective",5
1883,目录,mù lù,"catalog, table of contents",5
1884,目前,mù qián,"at present, now",5
1885,木头,mù tou,"log of wood, blockhead",5
1886,哪怕,nǎ pà,even if,5
1887,难怪,nán guài,no wonder (that),5
1888,难看,nán kàn,ugly,5
1889,脑袋,nǎo dai,"head, skull, brain",5
1890,内科,nèi kē,internal medicine,5
1891,嫩,nèn,"tender, soft, inexperienced",5
1892,能干,néng gàn,"able, capable, competent",5
1893,能源,néng yuán,"energy, energy source",5
1894,念,niàn,to read aloud,5
1895,年代,nián dài,"decade, age, period",5
1896,年纪,nián jì,age,5
1897,宁可,nìng kě,"would rather, preferably",5
1898,牛仔裤,niú zǎi kù,jeans,5
1899,浓,nóng,"dense, concentrated, thick",5
1900,农民,nóng mín,"peasant, farmer",5
1901,农业,nóng yè,"agriculture, farming",5
1902,女士,nǚ shì,"lady, madam",5
1903,偶然,ǒu rán,"accidentally, by chance",5
1904,派,pài,"school, group, pi (π), to send, to assign",5
1905,拍,pāi,"to clap, to slap, to take (a photo)",5
1906,排队,pái duì,"to queue, to line up",5
1907,排球,pái qiú,volleyball,5
1908,盼望,pàn wàng,"to hope for, to look forward to",5
1909,赔偿,péi cháng,"compensation, to compensate",5
1910,佩服,pèi fu,to admire,5
1911,配合,pèi hé,"to coordinate, to cooperate, to fit",5
1912,培养,péi yǎng,"to train, to cultivate, to bring up",5
1913,盆,pén,"basin, tub, pot Measure, for approx. 128 liters",5
1914,碰见,pèng jiàn,"to run into, to bump into",5
1915,匹,pǐ,"ordinary person Measure, for horses and cloth",5
1916,批,pī,"to criticize Measure, for batches, lots, etc.",5
1917,披,pī,"to drape over one's shoulder, to crack",5
1918,疲劳,pí láo,"wariness, fatigue, tired, weary, exhausted",5
1919,皮鞋,pí xié,leather shoes,5
1920,批准,pī zhǔn,"to approve, to ratify",5
1921,片,piàn,"thin piece, slice, film Measure, for movies, scenes, etc. pieces of things",5
1922,片面,piàn miàn,"unilateral, one-sided",5
1923,飘,piāo,"to flutter, to float (in the wind)",5
1924,频道,pín dào,"frequency, (TV) channel",5
1925,品种,pǐn zhǒng,"variety, breed",5
1926,凭,píng,"proof, to rely on, to lean against, according to, on the basis of",5
1927,平,píng,"flat, level, calm, peaceful",5
1928,平常,píng cháng,"ordinary, common, generally, usually",5
1929,平等,píng děng,"equality, equal",5
1930,平方,píng fāng,square,5
1931,平衡,píng héng,"balance, equilibrium",5
1932,评价,píng jià,"to assess, to evaluate",5
1933,平静,píng jìng,"calm, quiet, tranquil",5
1934,平均,píng jūn,"average, average, mean",5
1935,破产,pò chǎn,"bankruptcy, to go bankrupt",5
1936,破坏,pò huài,"destruction, damage, to destroy, to break",5
1937,迫切,pò qiè,"urgent, pressing",5
1938,朴素,pǔ sù,"plain, simple",5
1939,期待,qī dài,"expectation, to look forward to",5
1940,启发,qǐ fā,"inspiration, enlightenment, to inspire, to enlighten",5
1941,气氛,qì fēn,"atmosphere, mood",5
1942,奇迹,qí jì,"miracle, wonder",5
1943,期间,qī jiān,"period of time, period",5
1944,企图,qǐ tú,"attempt, to attempt",5
1945,企业,qǐ yè,"enterprise, company",5
1946,汽油,qì yóu,"gas, gasoline",5
1947,其余,qí yú,"the rest, the others",5
1948,欠,qiàn,"to owe, deficient",5
1949,浅,qiǎn,"shallow, light",5
1950,牵,qiān,"to pull, to lead, to hold hands",5
1951,前途,qián tú,"prospect, future",5
1952,谦虚,qiān xū,modest,5
1953,签字,qiān zì,to sign (signature),5
1954,抢,qiǎng,"to grab, to rob",5
1955,枪,qiāng,"gun, spear",5
1956,强调,qiáng diào,"to emphasize, to stress, to underling",5
1957,强烈,qiáng liè,"intense, strong, violent",5
1958,瞧,qiáo,"to look at, to see",5
1959,巧妙,qiǎo miào,"ingenious, clever",5
1960,悄悄,qiāo qiāo,"quietly, secretly",5
1961,切,qiē,"to cut, to chop",5
1962,亲爱,qīn ài,"dear, beloved",5
1963,勤奋,qín fèn,"hardworking, diligent",5
1964,勤劳,qín láo,"hardworking, industrious",5
1965,侵略,qīn lüè,"invasion, aggression, to invade",5
1966,亲切,qīn qiè,"friendliness, hospitality, kind, cordial, amiable",5
1967,亲自,qīn zì,personally,5
1968,青,qīng,blue/green,5
1969,青春,qīng chūn,"youth, youthfulness",5
1970,清淡,qīng dàn,light (food),5
1971,情景,qíng jǐng,"scene, sight, condition, circumstances",5
1972,请求,qǐng qiú,"request, to request, to ask",5
1973,青少年,qīng shào nián,"young person, teenager",5
1974,轻视,qīng shì,"to look down upon, to contempt",5
1975,情绪,qíng xù,"feeling, mood, sentiment",5
1976,庆祝,qìng zhù,to celebrate,5
1977,球迷,qiú mí,football fan,5
1978,娶,qǔ,to marry (men -> woman),5
1979,去世,qù shì,"to pass away, to die",5
1980,趋势,qū shì,"trend, tendency",5
1981,取消,qǔ xiāo,"cancellation, to cancel",5
1982,劝,quàn,"to advise, to persuade, to encourage",5
1983,圈,quān,"circle, ring, loop Measure, for loops, laps, etc.",5
1984,权利,quán lì,"right, privilege",5
1985,权力,quán lì,"power, authority",5
1986,全面,quán miàn,"all-around, overall, comprehensive",5
1987,确定,què dìng,"to make sure, to define, to determine",5
1988,缺乏,quē fá,"shortage, to be short of, to lack",5
1989,确认,què rèn,"confirmation, to confirm, to verify",5
1990,燃烧,rán shāo,"to burn, to kindle",5
1991,嚷,rǎng,"to blurt out, to shout",5
1992,绕,rào,"to wind, to coil (around), to go around",5
1993,热爱,rè ài,"to love ardently, to adore",5
1994,热烈,rè liè,"warm (welcome, etc.), enthusiastic",5
1995,热心,rè xīn,"enthusiasm, enthusiastic, ardent, warmhearted",5
1996,忍不住,rěn bu zhù,"cannot help, unable to bear",5
1997,人才,rén cái,"talent, talented person",5
1998,人口,rén kǒu,population,5
1999,人类,rén lèi,"humanity, mankind",5
2000,人生,rén shēng,"life, human life",5
2001,人事,rén shì,"human affairs, personnel",5
2002,人物,rén wù,"character, protagonist",5
2003,人员,rén yuán,"staff, personnel",5
2004,日常,rì cháng,daily,5
2005,日程,rì chéng,schedule,5
2006,日历,rì lì,calendar,5
2007,日期,rì qī,date,5
2008,日用品,rì yòng pǐn,articles for daily use,5
2009,融化,róng huà,"to melt, to thaw",5
2010,荣幸,róng xìng,honoured,5
2011,荣誉,róng yù,"honour, glory",5
2012,如何,rú hé,"how, in what way",5
2013,如今,rú jīn,nowadays,5
2014,软件,ruǎn jiàn,software,5
2015,弱,ruò,weak,5
2016,洒,sǎ,"to sprinkle, to spray",5
2017,嗓子,sǎng zi,"throat, voice",5
2018,傻,shǎ,foolish,5
2019,杀,shā,to kill,5
2020,沙漠,shā mò,desert,5
2021,沙滩,shā tān,beach,5
2022,晒,shài,"to share files, to dry in the sun, to sunbathe",5
2023,删除,shān chú,to delete,5
2024,闪电,shǎn diàn,lightning,5
2025,善良,shàn liáng,"kindhearted, good, honest",5
2026,善于,shàn yú,to be good at,5
2027,扇子,shàn zi,fan,5
2028,上当,shàng dàng,to be fooled,5
2029,商品,shāng pǐn,"good, commodity",5
2030,商业,shāng yè,"business, commerce, trade",5
2031,勺子,sháo zi,spoon,5
2032,蛇,shé,snake,5
2033,设备,shè bèi,"equipment, facilities",5
2034,舍不得,shě bu de,reluctant to give up or let go,5
2035,设计,shè jì,"design, plan, to design, to plan",5
2036,射击,shè jī,"to shoot, to fire (a gun)",5
2037,设施,shè shī,"facility, installation",5
2038,舌头,shé tou,tongue,5
2039,摄影,shè yǐng,"to take a photo, to shoot a movie",5
2040,伸,shēn,"to stretch, to extend",5
2041,身材,shēn cái,"figure, stature",5
2042,身份,shēn fèn,"identity, status",5
2043,神话,shén huà,"fairy tale, myth",5
2044,神经,shén jīng,nerve,5
2045,深刻,shēn kè,"profound, deep",5
2046,神秘,shén mì,"mystery, mysterious",5
2047,升,shēng,"to promote, to raise Measure, 1 liter",5
2048,生产,shēng chǎn,"production, to produce, to manufacture",5
2049,声调,shēng diào,"tone, note",5
2050,生动,shēng dòng,"vivid, lively",5
2051,胜利,shèng lì,"victory, triumph",5
2052,省略,shěng lüè,"to leave out, to omit",5
2053,绳子,shéng zi,"string, rope, cord",5
2054,诗,shī,poem,5
2055,士兵,shì bīng,soldier,5
2056,时代,shí dài,"time, era, epoch",5
2057,似的,shì de,(seems) as if,5
2058,是否,shì fǒu,whether (or not),5
2059,实话,shí huà,truth,5
2060,实践,shí jiàn,"to practice, to carry out",5
2061,使劲儿,shǐ jìn r,to exert all one's strength,5
2062,试卷,shì juàn,examination paper,5
2063,时刻,shí kè,moment,5
2064,时髦,shí máo,fashionable,5
2065,失眠,shī mián,"insomnia, be unable to sleep",5
2066,时期,shí qī,"period, phase",5
2067,失去,shī qù,to lose (sth.),5
2068,时尚,shí shàng,fashion,5
2069,事实,shì shí,fact,5
2070,石头,shí tou,stone,5
2071,食物,shí wù,food,5
2072,事物,shì wù,"thing, object",5
2073,实习,shí xí,"practice, internship, to practice",5
2074,实现,shí xiàn,"to realize, to achieve, to bring about",5
2075,事先,shì xiān,"in advance, beforehand",5
2076,实行,shí xíng,"to put into practice, to carry out",5
2077,实验,shí yàn,"experiment, to experiment",5
2078,失业,shī yè,"unemployment, to lose one's job, unemployed",5
2079,实用,shí yòng,"practical, pragmatisch, applied",5
2080,始终,shǐ zhōng,from beginning to end,5
2081,手工,shǒu gōng,"hondwork, manual",5
2082,收获,shōu huò,"result, gain, harvest, to harvest",5
2083,收据,shōu jù,receipt,5
2084,寿命,shòu mìng,"life span, life expectancy",5
2085,受伤,shòu shāng,to get injured,5
2086,手术,shǒu shù,"operation, surgery",5
2087,手套,shǒu tào,gloves,5
2088,手续,shǒu xù,"procedure, formality",5
2089,手指,shǒu zhǐ,finger,5
2090,鼠标,shǔ biāo,mouse (IT),5
2091,蔬菜,shū cài,vegetables,5
2092,书架,shū jià,bookshelf,5
2093,数据,shù jù,data,5
2094,熟练,shú liàn,"skilled, practiced, proficient",5
2095,数码,shù mǎ,"number, figure, digital",5
2096,输入,shū rù,"to import, to input",5
2097,舒适,shū shì,"comfortable, cozy",5
2098,属于,shǔ yú,"to belong to, to be part of",5
2099,梳子,shū zi,comb,5
2100,甩,shuǎi,"to throw, to swing, to move back and forth",5
2101,摔,shuāi,"to fall, to throw down",5
2102,双方,shuāng fāng,"both sides, bilateral",5
2103,税,shuì,"tax, duty",5
2104,说不定,shuō bu dìng,"maybe, cannot say for sure",5
2105,说服,shuō fú,"to persuade, to convince",5
2106,撕,sī,to tear up,5
2107,丝绸,sī chóu,"silk, silk cloth",5
2108,丝毫,sī háo,"the slightes amount or degree, very little",5
2109,似乎,sì hū,"apparently, it seems as if, seemingly",5
2110,思考,sī kǎo,"to ponder over, to think over, to reflect upon",5
2111,寺庙,sì miào,"temple, monastery",5
2112,私人,sī rén,"private (person), private",5
2113,思想,sī xiǎng,"idea, thought, thinking",5
2114,宿舍,sù shè,dormitory,5
2115,碎,suì,"to break into pieces, broken (into pieces)",5
2116,随时,suí shí,"at all time, at any time",5
2117,损失,sǔn shī,"loss, damage, to lose, to damage",5
2118,所,suǒ,"actually Measure, for houses, buildings, institutions",5
2119,锁,suǒ,"lock, to lock up",5
2120,缩短,suō duǎn,"to curtail, to cut down",5
2121,所谓,suǒ wèi,so-called,5
2122,缩小,suō xiǎo,"to reduce, to shrink, to lessen",5
2123,塔,tǎ,tower,5
2124,太极拳,tài jí quán,"shadowboxing, Taiji",5
2125,台阶,tái jiē,"stairs, step",5
2126,太太,tài tai,"wife, Madame, Mrs.",5
2127,谈判,tán pàn,"negotiation, talks, to negotiate",5
2128,坦率,tǎn shuài,"frank, open, candid",5
2129,烫,tàng,"to burn, to iron, hot (food, etc.)",5
2130,桃,táo,peach,5
2131,逃,táo,"to escape, to run away, to flee",5
2132,套,tào,"cover, to cover with Measure, for sets of things",5
2133,逃避,táo bì,"to escape, to avoid, to shirk",5
2134,特殊,tè shū,"special, unusual",5
2135,特意,tè yì,"specially, expressly",5
2136,特征,tè zhēng,"distinctive feature, characteristic",5
2137,疼爱,téng ài,to love dearly,5
2138,提,tí,"to carry, to raise",5
2139,提倡,tí chàng,"to promote, to advocate",5
2140,提纲,tí gāng,"key points, outline",5
2141,体会,tǐ huì,"to know (through experience), to experience",5
2142,体积,tǐ jī,volume,5
2143,题目,tí mù,"topic, title",5
2144,体贴,tǐ tiē,considerate,5
2145,提问,tí wèn,to raise a question,5
2146,体现,tǐ xiàn,"to embody, to incarnate",5
2147,体验,tǐ yàn,to experience (for oneself),5
2148,天空,tiān kōng,sky,5
2149,田野,tián yě,"field, open land",5
2150,天真,tiān zhēn,"naive, innocent",5
2151,调皮,tiáo pí,"naughty, tricky",5
2152,挑战,tiǎo zhàn,challange,5
2153,调整,tiáo zhěng,"adjustment, to adjust, to revise",5
2154,铜,tóng,copper,5
2155,通常,tōng cháng,"regular, usually, normally",5
2156,痛苦,tòng kǔ,"pain, suffering, painful",5
2157,痛快,tòng kuài,"delighted, very happy",5
2158,同时,tóng shí,"at the same time, simultaneously",5
2159,通讯,tōng xùn,"communication, news report",5
2160,统一,tǒng yī,"to unify, to unite, to integrate",5
2161,统治,tǒng zhì,"regime, government, to rule, to govern",5
2162,透明,tòu míng,transparent,5
2163,投资,tóu zī,"investment, to invest",5
2164,吐,tù,to vomit,5
2165,突出,tū chū,outstanding,5
2166,土地,tǔ dì,"land, soil, territory",5
2167,土豆,tǔ dòu,potato,5
2168,兔子,tù zi,rabbit,5
2169,团,tuán,"group, regiment Measure, for ball-like things",5
2170,退,tuì,"to return, to decline, to withdraw",5
2171,退步,tuì bù,"regression, to regress, to fall behind, to go backward",5
2172,推辞,tuī cí,"to decline, to turn down",5
2173,推广,tuī guǎng,"to spread, to popularize",5
2174,推荐,tuī jiàn,"recommendation, to recommend",5
2175,退休,tuì xiū,"retirement, to retire",5
2176,歪,wāi,"crooked, devious",5
2177,外交,wài jiāo,"diplomacy, foreign affairs",5
2178,弯,wān,"a curve, to bend, to curve, bent, curved",5
2179,玩具,wán jù,toy,5
2180,完美,wán měi,perfect,5
2181,完善,wán shàn,"to improve, to make perfect, perfect",5
2182,万一,wàn yī,"contingency, in case",5
2183,完整,wán zhěng,"complete, intact",5
2184,往返,wǎng fǎn,"back and forth, to and from",5
2185,王子,wáng zǐ,prince,5
2186,胃,wèi,stomach,5
2187,尾巴,wěi ba,tail,5
2188,未必,wèi bì,not necessarily,5
2189,伟大,wěi dà,"great, mighty",5
2190,违反,wéi fǎn,to violate (law),5
2191,危害,wēi hài,"endangerment, to endanger, to harm",5
2192,维护,wéi hù,"to defend, to safeguard, to maintain",5
2193,围巾,wéi jīn,scarf,5
2194,未来,wèi lái,future,5
2195,委屈,wěi qu,to feel wronged,5
2196,围绕,wéi rào,"to revolve around, to surround",5
2197,卫生间,wèi shēng jiān,"bathroom, WC",5
2198,委托,wěi tuō,"to entrust, to commission, to consign",5
2199,微笑,wēi xiào,"smile, to smile",5
2200,威胁,wēi xié,"threat, menace, to threaten, to menace",5
2201,唯一,wéi yī,"only, sole",5
2202,位置,wèi zhì,"position, place",5
2203,闻,wén,"to hear, to smell",5
2204,吻,wěn,"kiss, to kiss",5
2205,稳定,wěn dìng,"stability, to stabalize, steady, stable",5
2206,问候,wèn hòu,to send a greeting,5
2207,文件,wén jiàn,"document, file",5
2208,文具,wén jù,"stationery, writing materials",5
2209,文明,wén míng,"civilization, culture, civilized",5
2210,温暖,wēn nuǎn,warm,5
2211,温柔,wēn róu,"gentle, soft, tender",5
2212,文学,wén xué,literature,5
2213,卧室,wò shì,bedroom,5
2214,雾,wù,fog,5
2215,物理,wù lǐ,physics,5
2216,无奈,wú nài,to have no choice,5
2217,武器,wǔ qì,"weapon, arms",5
2218,无数,wú shù,"countless, innumerable",5
2219,武术,wǔ shù,martial arts,5
2220,物质,wù zhì,"matter, substance, material",5
2221,屋子,wū zi,"room, house",5
2222,系,xì,"system, department",5
2223,细节,xì jié,"detail, particulars",5
2224,戏剧,xì jù,"drama, play, theater",5
2225,吸收,xī shōu,"to absorb, to soak up, to assimilate",5
2226,系统,xì tǒng,system,5
2227,吓,xià,"to frighten, to scare",5
2228,瞎,xiā,"blind, groundlessly, foolishly, aimlessly",5
2229,下载,xià zài,to download,5
2230,县,xiàn,county,5
2231,显得,xiǎn de,"to seem, to look, to appear",5
2232,现金,xiàn jīn,cash,5
2233,显然,xiǎn rán,"clear, evident",5
2234,现实,xiàn shí,"reality, actuality, real, actual",5
2235,显示,xiǎn shì,"Display, to show, to display, to demonstrate",5
2236,现象,xiàn xiàng,"appearance, phenomenon",5
2237,鲜艳,xiān yàn,"bright-coloured, colourful",5
2238,项,xiàng,"neck, point, item Measure, for tasks, events, etc.",5
2239,相处,xiāng chǔ,to get along with each other,5
2240,相当,xiāng dāng,"be quivalent to, apropriate, quite, rather, fairly",5
2241,相对,xiāng duì,"to face each other, relatively, comperatively",5
2242,相关,xiāng guān,"correlation, dependence, to be interrelated",5
2243,项链,xiàng liàn,necklace,5
2244,项目,xiàng mù,"item, project, sports event",5
2245,想念,xiǎng niàn,"to miss, to remember with longing",5
2246,橡皮,xiàng pí,"rubber, eraser",5
2247,象棋,xiàng qí,Chinese chess,5
2248,享受,xiǎng shòu,"enjoyment, pleasure, to enjoy",5
2249,相似,xiāng sì,"to resemble, to be similar to",5
2250,想象,xiǎng xiàng,"imagination, to imagine, to visualize",5
2251,象征,xiàng zhēng,"symbol, to symbolize, to stand for",5
2252,小吃,xiǎo chī,"snack, refreshments",5
2253,消费,xiāo fèi,"consumption, to consume",5
2254,消化,xiāo huà,"digestion, to digest",5
2255,小伙子,xiǎo huǒ zi,young fellow,5
2256,效率,xiào lǜ,efficiency,5
2257,小麦,xiǎo mài,wheat,5
2258,消灭,xiāo miè,"annihilation, to eliminate, to perish",5
2259,小气,xiǎo qi,"stingy, petty, miserly",5
2260,消失,xiāo shī,"to disappear, to fade away",5
2261,销售,xiāo shòu,"sales, to sell",5
2262,孝顺,xiào shun,to be obedient to one's parents,5
2263,小偷,xiǎo tōu,thief,5
2264,斜,xié,"inclined, slanting, oblique",5
2265,歇,xiē,to rest,5
2266,协调,xié tiáo,"to coordinate, to harmonize",5
2267,信封,xìn fēng,envelope,5
2268,信号,xìn hào,signal,5
2269,心理,xīn lǐ,"psychology, mentality, psychological, menatl",5
2270,欣赏,xīn shǎng,"to enjoy, to appreciate",5
2271,信息,xìn xī,"information, news",5
2272,心脏,xīn zàng,heart,5
2273,形成,xíng chéng,"to form, to take shape",5
2274,行动,xíng dòng,"action, operation, to move, to act",5
2275,幸亏,xìng kuī,"furtunately, luckily",5
2276,行人,xíng rén,pedestrian,5
2277,形容,xíng róng,"description, to describe",5
2278,形势,xíng shì,"situation, circumstances, terrain",5
2279,形式,xíng shì,"form, shape",5
2280,行为,xíng wéi,"action, conduct, behaviour, activity",5
2281,形象,xíng xiàng,"image, appearance, figure",5
2282,幸运,xìng yùn,"luck, fortune, lucky, fortunate",5
2283,性质,xìng zhì,"nature, character",5
2284,形状,xíng zhuàng,"form, shape",5
2285,胸,xiōng,chest,5
2286,兄弟,xiōng dì,brothers,5
2287,雄伟,xióng wěi,"grand, magnificent",5
2288,修改,xiū gǎi,"modification, to modify, to amend, to revise",5
2289,休闲,xiū xián,leisure,5
2290,叙述,xù shù,"narration, to tell, to relate",5
2291,虚心,xū xīn,modest,5
2292,宣布,xuān bù,"to declare, to announce",5
2293,宣传,xuān chuán,"propaganda, to propagte, to disseminate",5
2294,选举,xuǎn jǔ,"election, to elect",5
2295,学期,xué qī,"term, semester",5
2296,学术,xué shù,"learning, science",5
2297,学问,xué wen,knowledge,5
2298,训练,xùn liàn,"training, to train, to drill",5
2299,迅速,xùn sù,"rapid, speedy, quick",5
2300,询问,xún wèn,to inquire,5
2301,寻找,xún zhǎo,"to seek, to look for",5
2302,延长,yán cháng,"to prolong, to extend",5
2303,宴会,yàn huì,"banquet, feast",5
2304,严肃,yán sù,"solemn, serious",5
2305,痒,yǎng,"to itch, to tickle",5
2306,样式,yàng shì,"type, style, pattern",5
2307,阳台,yáng tái,balcony,5
2308,摇,yáo,"to shake, to sway",5
2309,咬,yǎo,to bite,5
2310,腰,yāo,"waist, lower back",5
2311,要不,yào bù,otherwise,5
2312,要是,yào shi,"if, in case",5
2313,夜,yè,night,5
2314,液体,yè tǐ,liquid,5
2315,业务,yè wù,"business, professional work",5
2316,业余,yè yú,"spare time, amateur",5
2317,乙,yǐ,second(ly),5
2318,一辈子,yí bèi zi,a lifetime,5
2319,一旦,yí dàn,"in one day, in case, if, once",5
2320,移动,yí dòng,"movement, to move, to shift, mobile, portable",5
2321,遗憾,yí hàn,"to regret, regrettable",5
2322,以及,yǐ jí,as well as,5
2323,以来,yǐ lái,since,5
2324,一路平安,yí lù píng ān,have a save trip!,5
2325,议论,yì lùn,"discussion, to discuss, to comment on",5
2326,移民,yí mín,"immigrant, to immigrate, to migrate",5
2327,依然,yī rán,"still, as before",5
2328,意外,yì wài,"accident, unexpected, accidental",5
2329,疑问,yí wèn,"question, doubt",5
2330,义务,yì wù,"duty, obligation, voluntary",5
2331,意义,yì yì,"meaning, sense, significance",5
2332,一致,yí zhì,"agreement, identical, unanimous (views, etc.)",5
2333,银,yín,"silver, silver (colour)",5
2334,因而,yīn ér,"thus, as a result",5
2335,因素,yīn sù,"element, factor",5
2336,硬币,yìng bì,coin,5
2337,应付,yìng fu,"to deal with, to cope with",5
2338,硬件,yìng jiàn,hardware,5
2339,迎接,yíng jiē,"to greet, to welcome, to meet",5
2340,英俊,yīng jùn,handsome and smart,5
2341,应聘,yìng pìn,to apply for a job,5
2342,英雄,yīng xióng,hero,5
2343,营养,yíng yǎng,"nutrition, nourishment",5
2344,营业,yíng yè,"to do business, to trade",5
2345,应用,yìng yòng,"application, to apply, to use",5
2346,影子,yǐng zi,shadow,5
2347,拥抱,yōng bào,"to embrace, to hug",5
2348,拥挤,yōng jǐ,"to squeeze, to press, crowded",5
2349,勇气,yǒng qì,courage,5
2350,用途,yòng tú,"application, use, purpos",5
2351,幼儿园,yòu ér yuán,"kintergarten, nursery school",5
2352,优惠,yōu huì,"preferential, favourable",5
2353,悠久,yōu jiǔ,"long, longstanding",5
2354,邮局,yóu jú,post office,5
2355,游览,yóu lǎn,"to visit, to go sightseeing",5
2356,有利,yǒu lì,"advantageous, beneficial",5
2357,优美,yōu měi,"fine, graceful",5
2358,优势,yōu shì,"superiority, dominance, advantage",5
2359,犹豫,yóu yù,to hesitate,5
2360,油炸,yóu zhá,to deep fry,5
2361,预报,yù bào,forecast,5
2362,预订,yù dìng,"booking, to book, to subscribe for",5
2363,预防,yù fáng,"prevention, prophylaxis, to prevent",5
2364,娱乐,yú lè,"amusement, entertainment, to amuse, to entertain",5
2365,玉米,yù mǐ,"corn, maize",5
