No,Chinese,Pinyin,English,Level
3034,反射,fǎn shè,"reflection, to reflect, to reflex",6
3035,反思,fǎn sī,"to rethink, to think over again",6
3036,繁体字,fán tǐ zì,traditional character,6
3037,反问,fǎn wèn,"rhetorical question, counter question",6
3038,繁殖,fán zhí,"to breed, to reproduce",6
3039,反之,fǎn zhī,"on the other hand, conversely",6
3040,放大,fàng dà,"to enlarge, to magnify",6
3041,放射,fàng shè,"radiation, emission, to radiate, to emit",6
3042,防守,fáng shǒu,"to defend, to protect",6
3043,放手,fàng shǒu,to let go,6
3044,方位,fāng wèi,"direction, position",6
3045,方言,fāng yán,dialect,6
3046,防疫,fáng yì,"disease prevention, protection against epidemic",6
3047,防御,fáng yù,"defense, to defend, to guard",6
3048,方针,fāng zhēn,"policy, guidelines",6
3049,防止,fáng zhǐ,"to prevent, to avoid",6
3050,防治,fáng zhì,prevention and cure,6
3051,纺织,fǎng zhī,spinning and weaving,6
3052,诽谤,fěi bàng,"to slander, to libel, to defame",6
3053,废除,fèi chú,"to abolish, to cancel, to abrogate",6
3054,非法,fēi fǎ,illegal,6
3055,飞禽走兽,fēi qín zǒu shòu,birds and animal,6
3056,沸腾,fèi téng,"to boil, to reach ebullition",6
3057,匪徒,fěi tú,"gangster, bandit",6
3058,肥沃,féi wò,fertile,6
3059,飞翔,fēi xiáng,to fly,6
3060,废墟,fèi xū,ruins,6
3061,飞跃,fēi yuè,"to leap, to jump",6
3062,分辨,fēn biàn,"to distinguish, to defend oneself against an accusation",6
3063,分寸,fēn cun,"judgement for propriety, propriety",6
3064,吩咐,fēn fù,"to instruct, to tell, to command",6
3065,分红,fēn hóng,"bonus, dividend, to draw dividend",6
3066,分解,fēn jiě,"to resolve, to break down, to decompose",6
3067,分量,fèn liàng,"weight, quantity",6
3068,分裂,fēn liè,"fission, to split, to divide",6
3069,分泌,fēn mì,to secrete,6
3070,分明,fēn míng,"clearly demarcated, distinct",6
3071,粉末,fěn mò,"powder, dust",6
3072,坟墓,fén mù,tomb,6
3073,分歧,fēn qí,"differences, discrepancy",6
3074,分散,fēn sàn,"to disperse, to scatter",6
3075,粉色,fěn sè,light pink,6
3076,分手,fēn shǒu,to break up,6
3077,粉碎,fěn suì,"to break, to smash, to shatter",6
3078,逢,féng,"to meet by chance, to come across",6
3079,风暴,fēng bào,storm,6
3080,封闭,fēng bì,"to seal, to close, to confine",6
3081,风度,fēng dù,"poise, grace, style",6
3082,风光,fēng guāng,"scene, sight, landscape, good reputation",6
3083,封建,fēng jiàn,"feudalism, feudal",6
3084,锋利,fēng lì,sharp (e.g. knife),6
3085,丰满,fēng mǎn,"plump, well-rounded, plentiful",6
3086,风气,fēng qì,"common practice, atmosphere",6
3087,风趣,fēng qù,"humor, humorous, witty",6
3088,丰盛,fēng shèng,"rich, sumptuous",6
3089,丰收,fēng shōu,have a good harvest,6
3090,封锁,fēng suǒ,"to blockade, to seal off",6
3091,风土人情,fēng tǔ rén qíng,local conditions and customs,6
3092,风味,fēng wèi,flavor or style typical for a region,6
3093,奉献,fèng xiàn,"dedication, to dedicate, to devote",6
3094,否决,fǒu jué,"veto, to veto, to reject, to overrule",6
3095,副,fù,"deputy, vice- Measure, for pairs, sets, etc.",6
3096,腐败,fǔ bài,"corruption, corrupt, rotten",6
3097,负担,fù dān,"burden, to bear a burden",6
3098,幅度,fú dù,"range, extent",6
3099,夫妇,fū fù,"(married) couple, husband and wife",6
3100,覆盖,fù gài,"to cover, to lay over",6
3101,符号,fú hào,"symbol, mark, sign",6
3102,附和,fù hè,"to repeat what others say, to echo",6
3103,复活,fù huó,"resurrection, to bring back to life, to revive",6
3104,附件,fù jiàn,"enclosure, attachment, appendix",6
3105,腐烂,fǔ làn,"to rot, to perish",6
3106,福利,fú lì,well-being; welfare,6
3107,俘虏,fú lǔ,"captive, prisoner, to capture, to arrest",6
3108,服气,fú qì,"to be convinced, to accept",6
3109,福气,fú qi,"good fortune, felicity",6
3110,夫人,fū rén,"lady, madam",6
3111,辐射,fú shè,"radiation, to radiate",6
3112,腐蚀,fǔ shí,"corrosion, corruption, to corrode, to rot, to corrupt",6
3113,附属,fù shǔ,"subsidiary, subordinate, attached",6
3114,腹泻,fù xiè,"diarrhea, to have the runs",6
3115,复兴,fù xīng,"rebirth, to revive, to renew",6
3116,腐朽,fǔ xiǔ,"rotten, decayed",6
3117,敷衍,fū yǎn,"to do sth. half-heartedly, to elaborate on",6
3118,抚养,fǔ yǎng,"to foster, to bring up",6
3119,俯仰,fǔ yǎng,"bend over, forward or down to watch",6
3120,赋予,fù yǔ,"to assign, to give, to endow",6
3121,富裕,fù yù,"richness, affluence, prosperous, rich, affluent",6
3122,辅助,fǔ zhù,"auxiliary, to assist",6
3123,副作用,fù zuò yòng,side effect,6
3124,改良,gǎi liáng,to improve,6
3125,盖章,gài zhāng,"to affix a seal, to stamp",6
3126,尴尬,gān gà,"embarrassed, awkward",6
3127,干旱,gān hàn,"drought, arid, dry",6
3128,干劲,gàn jìn,"enthusiasm, vigor, drive",6
3129,感慨,gǎn kǎi,to sigh with emotion,6
3130,感染,gǎn rǎn,"infection, to infect, to influence",6
3131,干扰,gān rǎo,"obstruction, to interfere, to disturb",6
3132,干涉,gān shè,"interference, to interfere, to intervene",6
3133,甘心,gān xīn,"to resign oneself to, willingly, readily",6
3134,干预,gān yù,"intervention, to intervene, to meddle",6
3135,杠杆,gàng gǎn,lever,6
3136,港口,gǎng kǒu,"port, harbour",6
3137,纲领,gāng lǐng,"guiding principle, program",6
3138,港湾,gǎng wān,"natural harbour, bay",6
3139,岗位,gǎng wèi,"post, position, station",6
3140,高超,gāo chāo,"excellent, outstanding, superb",6
3141,高潮,gāo cháo,"high tide, upsurge, climax, orgasm",6
3142,告辞,gào cí,"to take leave, to bid farewell",6
3143,高峰,gāo fēng,"peak, summit",6
3144,稿件,gǎo jiàn,"manuscript, rough draft",6
3145,告诫,gào jiè,"warning, admonition, to warn, to admonish",6
3146,高考,gāo kǎo,college entrance exam,6
3147,高明,gāo míng,"wise, brilliant, bright",6
3148,高尚,gāo shàng,"nobly, lofty, sublime",6
3149,高涨,gāo zhǎng,"upsurge, wave, to run high, to rise",6
3150,割,gē,"to cut, to cut apart",6
3151,搁,gē,"to place, to put, to put aside",6
3152,疙瘩,gē da,"lump, pimple, spot",6
3153,隔阂,gé hé,"estrangement, barrier",6
3154,格局,gé jú,"layout, structure, pattern",6
3155,隔离,gé lí,"to seperate, to isolate",6
3156,格式,gé shi,"format, specification",6
3157,各抒己见,gè shū jǐ jiàn,everyone gives their own view,6
3158,歌颂,gē sòng,"to sing the praise of, to extol",6
3159,个体,gè tǐ,"individual, individuality, individual",6
3160,跟前,gēn qián,in front of,6
3161,根深蒂固,gēn shēn dì gù,"deep-rooted, ineradicable",6
3162,跟随,gēn suí,to follow,6
3163,根源,gēn yuán,"origin, root, source",6
3164,跟踪,gēn zōng,"to tail, to run after, to follow",6
3165,耕地,gēng dì,"arable land, cultivated land",6
3166,更新,gēng xīn,"to replace, to renew, to update",6
3167,更正,gēng zhèng,"correction, to correct, to make a correction",6
3168,公安局,gōng ān jú,Public Security Bureau,6
3169,供不应求,gōng bú yìng qiú,supply does not meet demand,6
3170,公道,gōng dao,"justice, fair, just",6
3171,宫殿,gōng diàn,palace,6
3172,工夫,gōng fu,"labour, work, time skill, Kung Fu",6
3173,公告,gōng gào,"announcement, bulletin",6
3174,巩固,gǒng gù,"consolidation, to consolidate, to solidify",6
3175,公关,gōng guān,public relations,6
3176,共和国,gòng hé guó,republic,6
3177,攻击,gōng jī,"attack, to attack, to accuse",6
3178,供给,gōng jǐ,"to supply, to furnish, to provide",6
3179,共计,gòng jì,"total, to total, to count up",6
3180,恭敬,gōng jìng,"deferential, respectful",6
3181,功课,gōng kè,homework,6
3182,攻克,gōng kè,"to capture, to take, to seize",6
3183,功劳,gōng láo,"contribution, credit, meritorious service",6
3184,公民,gōng mín,citizen,6
3185,共鸣,gòng míng,"resonance, sympathy",6
3186,公婆,gōng pó,husband's parents,6
3187,公然,gōng rán,"flagrantly, undisguised",6
3188,公认,gōng rèn,to be generally acknowledged,6
3189,公式,gōng shì,formula,6
3190,公务,gōng wù,"public affairs, official business",6
3191,功效,gōng xiào,efficacy,6
3192,工艺品,gōng yì pǐn,handicraft,6
3193,公正,gōng zhèng,"justice, just, fair",6
3194,公证,gōng zhèng,"notarization, to notarize",6
3195,勾结,gōu jié,"to collude with, to gang up with",6
3196,构思,gòu sī,"conception, to design, to conceive",6
3197,钩子,gōu zi,hook,6
3198,股东,gǔ dōng,"shareholder, stockholder",6
3199,古董,gǔ dǒng,"antique, curio",6
3200,鼓动,gǔ dòng,"to agitate, to arouse, to incite",6
3201,孤独,gū dú,lonely,6
3202,股份,gǔ fèn,"share, stock",6
3203,辜负,gū fù,"to fail to live up to, to be unworthy of, to disappoint",6
3204,骨干,gǔ gàn,"backbone, diaphysis",6
3205,古怪,gǔ guài,"eccentric, cranky, oddly, grotesque",6
3206,孤立,gū lì,"isolation, to isolate, isolated",6
3207,顾虑,gù lǜ,"misgivings, apprehensions, to have misgiving about",6
3208,姑且,gū qiě,"temporarily, for the moment",6
3209,固然,gù rán,"admittedly, it is true, no doubt",6
3210,顾问,gù wèn,"adviser, consultant",6
3211,故乡,gù xiāng,"home, hometown",6
3212,固有,gù yǒu,"intrinsic, inherent, native",6
3213,故障,gù zhàng,"malfunction, breakdown, defect, fault",6
3214,固执,gù zhi,"stubborn, obstinate, pigheaded",6
3215,拐杖,guǎi zhàng,"walking stick, crutches",6
3216,罐,guàn,"can, jar, pot",6
3217,贯彻,guàn chè,"to carry out, to implement, to put into practice",6
3218,官方,guān fāng,"officials, authorities, official, authoritative",6
3219,灌溉,guàn gài,"irrigation, to irrigate, to water",6
3220,观光,guān guāng,"tourism, sightseeing, to tour, to go sightseeing",6
3221,惯例,guàn lì,"convention, tradition",6
3222,管辖,guǎn xiá,"to administer, to govern, to have jurisdiction over",6
3223,关照,guān zhào,"to take care, to look after, to inform",6
3224,光彩,guāng cǎi,"luster, splendor, brilliance, honorable, glorious",6
3225,光辉,guāng huī,"radiance, brilliance, brilliant, magnificent",6
3226,广阔,guǎng kuò,"wide, vast",6
3227,光芒,guāng máng,rays of light,6
3228,跪,guì,to kneel,6
3229,轨道,guǐ dào,"railway, track, orbit",6
3230,规范,guī fàn,"norm, rule, standard",6
3231,规格,guī gé,"standard, norm, specification",6
3232,归根到底,guī gēn dào dǐ,"to sum it up, in a final analysis, in the long run",6
3233,规划,guī huà,"plan, program, to plan, to work out",6
3234,归还,guī huán,"to return sth., to give back",6
3235,归纳,guī nà,"to conclude, to sum up, to summarize",6
3236,规章,guī zhāng,"rule, regulation",6
3237,贵族,guì zú,"nobleman, aristocrat, aristocracy, lord",6
3238,棍棒,gùn bàng,"club, cane, stick",6
3239,过度,guò dù,excessive,6
3240,过渡,guò dù,"transition, to cross over, interim",6
3241,果断,guǒ duàn,"firm, decisive",6
3242,国防,guó fáng,national defense,6
3243,过奖,guò jiǎng,"to overpraise, to flatter",6
3244,过滤,guò lǜ,"filtration, to filter",6
3245,过失,guò shī,"error, fault, mistake",6
3246,过问,guò wèn,"to ask about, to concern with",6
3247,国务院,guó wù yuàn,"State Council (China), State Department (USA)",6
3248,过瘾,guò yǐn,"to satisfy a craving, to enjoy fully",6
3249,过于,guò yú,"excessively, too much",6
3250,嗨,hāi,Hi!,6
3251,海拔,hǎi bá,height above sea level,6
3252,海滨,hǎi bīn,"shore, seaside",6
3253,含糊,hán hu,"ambiguous, vague",6
3254,罕见,hǎn jiàn,"rare, peculiar",6
3255,捍卫,hàn wèi,"to defend, to uphold",6
3256,寒暄,hán xuān,"to exchange conventional greetings, to make small talk",6
3257,含义,hán yì,"meaning, implication",6
3258,航空,háng kōng,aviation,6
3259,行列,háng liè,"line, row, procession",6
3260,航天,háng tiān,space flight,6
3261,航行,háng xíng,"to sail, to fly, to navigate",6
3262,耗费,hào fèi,"to use, to waste",6
3263,好客,hào kè,"hospitality, to be hospitable, hospitable, friendly",6
3264,豪迈,háo mài,"bold, heroic",6
3265,毫米,háo mǐ,millimeter,6
3266,毫无,háo wú,"not in the least, none whatsoever",6
3267,号召,hào zhào,"to call, to appeal",6
3268,呵,hē,"oh, ah",6
3269,和蔼,hé ǎi,"kind, amiable",6
3270,合并,hé bìng,"to merge, to unite, to incorporate",6
3271,合成,hé chéng,"compound, synthesis, to compose, to constitute, to synthesize, synthetic",6
3272,合乎,hé hū,"to accord with, conforming to",6
3273,合伙,hé huǒ,"to cooperate, to form a partnership",6
3274,和解,hé jiě,"reconciliation, compromise, to settle (a dispute out of court), to reconcile",6
3275,和睦,hé mù,"peaceful relations, harmony, harmonious",6
3276,和气,hé qi,"friendly, amiable",6
3277,合身,hé shēn,to fit (clothes),6
3278,合算,hé suàn,"reckon up, worthwhile, be worth the money",6
3279,和谐,hé xié,harmonious,6
3280,嘿,hēi,hey,6
3281,恨不得,hèn bu de,"to itch to, wish one could do sth.",6
3282,痕迹,hén jì,"mark, trace, vestige",6
3283,狠心,hěn xīn,"heartless, cruel-hearted",6
3284,哼,hēng,to express dissatisfaction,6
3285,哄,hōng,roar of laughter,6
3286,烘,hōng,"to bake, to warm by a fire",6
3287,红包,hóng bāo,"cash gift, bribe",6
3288,轰动,hōng dòng,"to cause a great sensation, to make a stir",6
3289,宏观,hóng guān,macroscopic,6
3290,洪水,hóng shuǐ,"flood, deluge",6
3291,宏伟,hóng wěi,"grand, imposing, magnificent",6
3292,吼,hǒu,"to roar, to howl, to shout",6
3293,后代,hòu dài,"later generations, descendants, offsprings",6
3294,后顾之忧,hòu gù zhī yōu,worries about the future consequences,6
3295,喉咙,hóu lóng,"throat, larynx",6
3296,后勤,hòu qín,logistics,6
3297,候选,hòu xuǎn,candidate,6
3298,互联网,hù lián wǎng,internet,6
3299,胡乱,hú luàn,"carelessly, casually, at random",6
3300,忽略,hū lüè,"to neglect, to overlook",6
3301,湖泊,hú pō,lake,6
3302,呼啸,hū xiào,"to whistle, to scream, to howl",6
3303,呼吁,hū yù,"appeal, to appeal",6
3304,花瓣,huā bàn,petal,6
3305,化肥,huà féi,chemical fertilizer,6
3306,划分,huà fēn,"to divide up, to mark off",6
3307,华丽,huá lì,"gorgeous, magnificent",6
3308,华侨,huá qiáo,overseas Chinese,6
3309,画蛇添足,huà shé tiān zú,"to overdo it, to ruin the effect by adding sth. superfluous",6
3310,化石,huà shí,fossil,6
3311,话筒,huà tǒng,microphone,6
3312,化验,huà yàn,"laboratory test, chemical analysis",6
3313,化妆,huà zhuāng,"make-up, to put make-up on",6
3314,怀孕,huái yùn,"pregnancy, to be pregnant",6
3315,缓和,huǎn hé,"to ease, to relax, to moderate",6
3316,环节,huán jié,"link, segment, connection",6
3317,欢乐,huān lè,"gladness, pleasure, happy, joyous, gay",6
3318,还原,huán yuán,"reduction (chem.), to restore to the original state",6
3319,患者,huàn zhě,patient,6
3320,黄昏,huáng hūn,"dusk, nightfall",6
3321,荒凉,huāng liáng,desolate,6
3322,慌忙,huāng máng,"hurried, hasty, in a great rush",6
3323,荒谬,huāng miù,"absurd, ridiculous",6
3324,恍然大悟,huǎng rán dà wù,to suddenly realize,6
3325,荒唐,huāng táng,"ludicrous, absurd, beyond belief, fantastic",6
3326,回报,huí bào,"payback, to reback, to requite",6
3327,汇报,huì bào,"to report, to give an account of",6
3328,回避,huí bì,"to avoid, to obviate",6
3329,回顾,huí gù,"retrospection, to review, to look back",6
3330,悔恨,huǐ hèn,"remorse, regret, to regret, to be seized with remorse",6
3331,辉煌,huī huáng,"splendid, brilliant, glorious",6
3332,挥霍,huī huò,"to squander (e.g. money), agile",6
3333,贿赂,huì lù,"bribe, to bribe",6
3334,毁灭,huǐ miè,"destruction, devastation, to destroy, to ruin",6
3335,回收,huí shōu,"to reclaim, to retrieve, to recover",6
3336,会晤,huì wù,"meeting, contact, to meet",6
3337,混合,hùn hé,"to mix, to blend",6
3338,混乱,hùn luàn,"chaos, confusion, disorder, chaotic, disorderly, unorganized",6
3339,昏迷,hūn mí,"coma, stupor, unconscious",6
3340,浑身,hún shēn,"from head to foot, all over",6
3341,混淆,hùn xiáo,"to confuse, to mix up",6
3342,混浊,hùn zhuó,"turbid, dirty",6
3343,货币,huò bì,"currency, money",6
3344,活该,huó gāi,"to serve sbd. right, deservedly",6
3345,火箭,huǒ jiàn,rocket,6
3346,活力,huó lì,"energy, vitality, vigor",6
3347,或许,huò xǔ,"perhaps, maybe",6
3348,火焰,huǒ yàn,"flame, blaze",6
3349,火药,huǒ yào,gunpowder,6
3350,即便,jí biàn,"even if, even thoug",6
3351,级别,jí bié,"rank, level, grade",6
3352,疾病,jí bìng,"disease, sickness",6
3353,继承,jì chéng,"to inherit, to carry on, to succeed",6
3354,基地,jī dì,"base, military base",6
3355,机动,jī dòng,"motorized, power-driven, flexible, mobile",6
3356,嫉妒,jí dù,"jealousy, to be jealous, to envy, jealous",6
3357,季度,jì dù,"quarter, 3 months",6
3358,极端,jí duān,"extreme, radical, utmost",6
3359,饥饿,jī è,"hunger, starvation, hungry, starving",6
3360,激发,jī fā,"to arouse, to excite, to inspire",6
3361,急功近利,jí gōng jìn lì,looking only for fast success,6
3362,机构,jī gòu,"mechanism, organization, institution",6
3363,机关,jī guān,"office, mechanism, organ, intrigue, plot trick",6
3364,籍贯,jí guàn,"native place, place of ancestry",6
3365,忌讳,jì huì,"taboo, to abstain from",6
3366,即将,jí jiāng,"to be about to, soon, right away",6
3367,计较,jì jiào,"to haggle, to bicker",6
3368,基金,jī jīn,fund,6
3369,寂静,jì jìng,"silent, quiet",6
3370,急剧,jí jù,"rapid, sudden, abrupt",6
3371,季军,jì jūn,bronze medalist,6
3372,激励,jī lì,"to encourage, to motivate",6
3373,机灵,jī ling,"clever, quick-witted",6
3374,机密,jī mì,"secret, secret, classified",6
3375,技能,jì néng,"skill, technical ability",6
3376,技巧,jì qiǎo,"skill, technique",6
3377,急切,jí qiè,"eager, impatient",6
3378,激情,jī qíng,"passion, enthusiasm",6
3379,集团,jí tuán,"group, bloc, corporation",6
3380,寄托,jì tuō,"to place (hope, etc.) on, consign",6
3381,继往开来,jì wǎng kāi lái,building on the past and forming the future,6
3382,极限,jí xiàn,"limit, utmost",6
3383,吉祥,jí xiáng,"lucky, auspicious",6
3384,迹象,jì xiàng,"sign, indication",6
3385,讥笑,jī xiào,"ironical smile, to sneer at, to ridicule",6
3386,机械,jī xiè,"machine, mechanical, inflexible",6
3387,记性,jì xing,"memory, recall",6
3388,纪要,jì yào,"minutes, written summary of a meeting",6
3389,基因,jī yīn,gene,6
3390,机遇,jī yù,opportunity,6
3391,给予,jǐ yǔ,"to give, to render, to present, to accord",6
3392,急于求成,jí yú qiú chéng,demanding quick results,6
3393,记载,jì zǎi,"record, to write down",6
3394,及早,jí zǎo,as soon as possible,6
3395,急躁,jí zào,"impatient, irritable, impetuous",6
3396,机智,jī zhì,"tact, alertness, quick-witted, tactful, resourceful",6
3397,家常,jiā cháng,daily life of a family,6
3398,加工,jiā gōng,"processing, to process, to manufacture",6
3399,家伙,jiā huo,"fellow, guy, tool, weapon",6
3400,加剧,jiā jù,"to intensify, to sharpen, to aggravate",6
3401,假设,jiǎ shè,"hypothesis, assumption, to suppose, to assume, in case of",6
3402,假使,jiǎ shǐ,"if, in case",6
3403,家属,jiā shǔ,"family member, dependent",6
3404,佳肴,jiā yáo,"delicacies, delicious food",6
3405,家喻户晓,jiā yù hù xiǎo,widely known,6
3406,夹杂,jiā zá,"to be mixed up with, to be mingled with",6
3407,拣,jiǎn,"to choose, to pick",6
3408,溅,jiàn,"to splash, to spatter",6
3409,鉴别,jiàn bié,"to differentiate, to distinguish",6
3410,剪彩,jiǎn cǎi,to cut the ribbon (at opening ceremony),6
3411,间谍,jiàn dié,spy,6
3412,坚定,jiān dìng,"to steady, to strengthen, firm, steady, staunch",6
3413,鉴定,jiàn dìng,"Evaluation, to appraise, to evaluate",6
3414,监督,jiān dū,"supervisor, to control, to supervise",6
3415,尖端,jiān duān,"sharp pointed end, tip, highest point, peak",6
3416,见多识广,jiàn duō shí guǎng,experienced and knowledgeable,6
3417,间隔,jiàn gé,"interval, gap, compartment",6
3418,坚固,jiān gù,"solid, firm, stable, strong",6
3419,简化,jiǎn huà,to simplify,6
3420,间接,jiàn jiē,indirect,6
3421,见解,jiàn jiě,"opinion, view, understanding",6
3422,简陋,jiǎn lòu,simple and crude,6
3423,艰难,jiān nán,"difficulty, hardship, difficult, hard",6
3424,健全,jiàn quán,"healthy, strong, robust",6
3425,坚韧,jiān rèn,"tough, durable, tenacious",6
3426,坚实,jiān shí,"solid, firm, substantial",6
3427,监视,jiān shì,"to monitor, to oversee, to watch",6
3428,践踏,jiàn tà,"to trample, to tread on",6
3429,检讨,jiǎn tǎo,self-criticism,6
3430,简体字,jiǎn tǐ zì,simplified character,6
3431,舰艇,jiàn tǐng,"warship, naval vessel",6
3432,见闻,jiàn wén,"what one sees and hears, knowledge, experience",6
3433,检验,jiǎn yàn,"test, to examine, to check, to test, to inspect",6
3434,简要,jiǎn yào,"concise, brief",6
3435,见义勇为,jiàn yì yǒng wéi,to stand up bravely for the truth,6
3436,坚硬,jiān yìng,"hard, solid",6
3437,监狱,jiān yù,"prison, jail",6
3438,鉴于,jiàn yú,"in view of, considering",6
3439,兼职,jiān zhí,"part-time job, part-time",6
3440,桨,jiǎng,"oar, paddle",6
3441,将近,jiāng jìn,"nearly, about, on the verge of",6
3442,将军,jiāng jūn,"admiral, general, to challenge",6
3443,奖励,jiǎng lì,"reward, to reward",6
3444,降临,jiàng lín,"to befall, to arrive",6
3445,奖赏,jiǎng shǎng,"reward, prize (money), to reward",6
3446,僵硬,jiāng yìng,"stiff, stark, inflexible",6
3447,搅拌,jiǎo bàn,"to stir, to mix up",6
3448,交叉,jiāo chā,"to cross, to intersect",6
3449,交代,jiāo dài,"to explain, to justify onself, to hand over (duties), to confess",6
3450,焦点,jiāo diǎn,"focus, focal point",6
3451,焦急,jiāo jí,"anxiety, anxious, worried",6
3452,较量,jiào liàng,"to have a contest, to compete",6
3453,角落,jiǎo luò,"corner, nook",6
3454,缴纳,jiǎo nà,to pay (taxes),6
3455,娇气,jiāo qì,"squeamish, finicky",6
3456,交涉,jiāo shè,to negotiate,6
3457,交往,jiāo wǎng,"association, contact, to associate, to contact",6
3458,教养,jiào yǎng,"upbringing, education, to educate, to bring up",6
3459,交易,jiāo yì,"transaction, business deal, trade",6
3460,皆,jiē,"all, each and every",6
3461,戒备,jiè bèi,"to take precautions, to be on the alert",6
3462,阶层,jiē céng,"hierarchy, social stratum",6
3463,杰出,jié chū,"outstanding, remarkable",6
3464,解除,jiě chú,"relief, dissolution, to relief, to remove, to dissolve",6
3465,揭发,jiē fā,"revelation, to expose, to disclose, to bring to light",6
3466,解雇,jiě gù,"to fire, to sack, to dismiss",6
3467,借鉴,jiè jiàn,"to take example by, to use as reference",6
3468,竭尽全力,jié jìn quán lì,"to spare no effort, to do all one can",6
3469,结晶,jié jīng,"crystal, crystallization",6
3470,结局,jié jú,"ending, finale, conclusion",6
3471,接连,jiē lián,"in succession, in a row, one after another",6
3472,揭露,jiē lù,"disclosure, to expose, to unmask, to disclose",6
3473,解剖,jiě pōu,"dissection, anatomy, to dissect, to anatomize",6
3474,解散,jiě sàn,"to dissolve, to disband, to dismiss",6
3475,结算,jié suàn,"to balance, to settle accounts",6
3476,解体,jiě tǐ,to disintegrate,6
3477,界限,jiè xiàn,"boundary, limit, border",6
3478,截至,jié zhì,"up to, by (time)",6
3479,借助,jiè zhù,"with the help of, drawing support from",6
3480,节奏,jié zòu,rhythm,6
3481,进而,jìn ér,"then, and then",6
3482,进攻,jìn gōng,"to attack, to assault",6
3483,进化,jìn huà,evolution,6
3484,津津有味,jīn jīn yǒu wèi,"to do with great pleasure, to relish",6
3485,尽快,jǐn kuài,as soon as possible,6
3486,近来,jìn lái,"recently, lately",6
3487,紧密,jǐn mì,"inseperable, close",6
3488,浸泡,jìn pào,"to soak, to immerse",6
3489,紧迫,jǐn pò,"urgent, pressing",6
3490,金融,jīn róng,"finance, banking",6
3491,晋升,jìn shēng,to promote (job),6
3492,近视,jìn shì,shortsighted,6
3493,劲头,jìn tóu,"enthusiasm, vigor",6
3494,锦绣前程,jǐn xiù qián chéng,bright future,6
3495,进展,jìn zhǎn,"progress, to evolve, to make progress",6
3496,茎,jīng,"stalk, stem",6
3497,井,jǐng,well,6
3498,精打细算,jīng dǎ xì suàn,careful calculation and strict budgeting,6
3499,惊动,jīng dòng,"to disturb, to alert, to alarm",6
3500,经费,jīng fèi,"expenditure, regular expenses, funds",6
3501,警告,jǐng gào,"to warn, to admonish",6
3502,精华,jīng huá,"elite, essence",6
3503,精简,jīng jiǎn,to simplify,6
3504,境界,jìng jiè,"boundary, realm",6
3505,兢兢业业,jīng jīng yè yè,cautious and conscientious,6
3506,敬礼,jìng lǐ,salute,6
3507,精密,jīng mì,"accuracy, exact, precise",6
3508,惊奇,jīng qí,"to be amazed, to be surprised",6
3509,精确,jīng què,"accurate, precise",6
3510,竞赛,jìng sài,"contest, competition",6
3511,经商,jīng shāng,"to trade, to be in business",6
3512,警惕,jǐng tì,"to be on the alert, to watch out for",6
3513,精通,jīng tōng,to be proficient,6
3514,镜头,jìng tóu,"camera lens, shot, movie scene",6
3515,经纬,jīng wěi,"warp and woof, main points, longitude and latitude",6
3516,精心,jīng xīn,"meticulous, fine, detailed",6
3517,竞选,jìng xuǎn,"to run for office, to take part in election",6
3518,惊讶,jīng yà,"stonishment, awe, surprised, amazed, astonished",6
3519,精益求精,jīng yì qiú jīng,to keep improving sth. already outstanding,6
3520,精致,jīng zhì,"delicate, fine, exquisite",6
3521,颈椎,jǐng zhuī,cervical vertebra,6
3522,纠纷,jiū fēn,"dispute, entanglement",6
3523,救济,jiù jì,"to give relief to, to succor",6
3524,就近,jiù jìn,nearby,6
3525,酒精,jiǔ jīng,"alcohol, ethanol",6
3526,就业,jiù yè,to take up a job,6
3527,纠正,jiū zhèng,"to correct, to put right",6
3528,就职,jiù zhí,"to assume office, to take office",6
3529,剧本,jù běn,screenplay,6
3530,局部,jú bù,"in part, partial, local",6
3531,举动,jǔ dòng,"action, activity, movement",6
3532,鞠躬,jū gōng,to bow,6
3533,聚精会神,jù jīng huì shén,to concentrate completely,6
3534,咀嚼,jǔ jué,to chew,6
3535,剧烈,jù liè,"acute, violent, severe",6
3536,拘留,jū liú,"detention, to detain, to arrest",6
3537,局面,jú miàn,"situation, aspect",6
3538,沮丧,jǔ sàng,"dispirited, dejected, depressed",6
3539,局势,jú shì,situation,6
3540,举世闻名,jǔ shì wén míng,world famous,6
3541,举世瞩目,jǔ shì zhǔ mù,to attract worldwide attention,6
3542,拘束,jū shù,"reticent, constrained, awkward",6
3543,据悉,jù xī,it is reported,6
3544,局限,jú xiàn,"limit, to limit, to confine",6
3545,居住,jū zhù,"to reside, to live",6
3546,举足轻重,jǔ zú qīng zhòng,to play the decisive role,6
3547,决策,jué cè,"(strategic) decision, to make policy, to make a strategic decision",6
3548,绝望,jué wàng,"desperation, hopelessness, to despair, to lose courage",6
3549,觉悟,jué wù,"conscousness, awareness, to become aware of",6
3550,觉醒,jué xǐng,"to awake, to come to realize",6
3551,军队,jūn duì,army,6
3552,卡通,kǎ tōng,cartoon,6
3553,开采,kāi cǎi,"to exploit, to mine",6
3554,开除,kāi chú,"to dismiss, to expel",6
3555,开阔,kāi kuò,"to widen, to open up, wide, open",6
3556,开朗,kāi lǎng,"optimistic, easy-going",6
3557,开明,kāi míng,"enlightened, open-minded",6
3558,开辟,kāi pì,"to open up, to start",6
3559,开水,kāi shuǐ,boiled water,6
